Операция с графом / ДРАКОН,Русский эквивалент,Императив Тамашек (Ša/Za),Оригинал,Описание формы / Вербальное существительное,Применение в коде (Контекст метаданных)
Построение ребра / связи,"Связать, соединить, прикрепить",ǝqqǝn,ⵇⵇⴻⵏ,"Группа IA2, vn: oɣǝn / uɣǝn ",Соединение икон vertical / horizontal трассами.
Запуск конвейера,"Начать, инициализировать",ănt (или каузатив săntu),ⴰⵏⵟⵓ (ⵙⴰⵏⵟⵓ ),"Группа IA7, vn: sănto / enătti ",Точка входа в парсер Python AST.
Генерация процесса,"Делать, создавать, чинить",ǝkǝn,ⴰⴽⴻⵏ,"Группа IA7, vn: ekănni / ǝmukǝn ",Расчет и отрисовка примитива action (Процесс).
Условное ветвление,"Разделить, разветвить, развести",măzzăy,ⵎⴰⵣⵣⴰⵢ,"Группа III (Reflexive), vn: amǝzzi ",Разделение шампура на ветки «Да» / «Нет» (question).
Трассировка вниз,"Развернуть, вытянуть, разложить",răyrăy,ⵔⴰⵢⵔⴰⵢ,"Группа VIII, vn: arǝyrǝy ",Вытягивание главного шампура схемы по оси Y.
Замыкание цикла,"Повторить, вернуть обратно",alǝs,ⴰⵍⴻⵙ,"Группа IA7, перевод: «re-» / «again» ",Замыкание обратной петли времени в loopout.
Запись метаданных,"Писать, фиксировать в БД",ǝktǝb,ǝkⵜⴱⵓ,"Группа IA1, vn: akătab ",Выполнение SQL-запросов INSERT в репозиторий.
Чтение / Инспекция DRC,"Читать, изучать, проверять",ăɣăr (или каузатив săɣru),ⴰⵖⴰⵔ (ⵙⵖⴰⵔ),"Группа IA7, vn: teɣăre ",Работа валидатора геометрии на наплывы текста.
Завершение графа,"Окончить, финализировать",sămdu,ⵙⴰⵎⴷⵓ,"Каузатив группы IA7, vn: sămdo ",Генерация финальной иконы «Конец».
