Локализационная серия (Ориентир),Падеж / Направление (Русский),Консонантный корень,Тифинаг,Математический смысл в геометрии Ходжа (8D/9D)
ИН (Внутри полости),Эссив (Покой внутри),ⵎⵙⵏ,ⵎⵙⵏ,Локализация формы внутри замкнутого подмногообразия.
,Аблатив (Изнутри),ⴼⵖ,ⴼⵖ,"Исход потока, кодифференциал из внутренней полости."
,Латив (Внутрь),ⴳⵣ,ⴳⵣ,Направление внешнего дифференциала внутрь объекта.
ЛЪ (Сплошная масса),Эссив (Внутри массы),ⴶⵔ,ⴶⵔ,Нахождение оператора в распределенной непрерывной среде.
,Аблатив (Из массы),ⴱⴾ,ⴱⴾ,Выход вектора поля из сплошного изотропного тела.
,Латив (Внутрь массы),ⵏⴹ,ⵏⴹ,"Диффузия, погружение градиента вглубь плотности."
"ХЬ (Вблизи, около)","Эссив (Около, в покое)",ⴷⴳ,ⴷⴳ,"Граничные условия, фиксация на прилегающем слое."
,Аблатив (От объекта),ⵏⴾ,ⵏⴾ,Удаление от сингулярности или базового узла графа.
,Латив (К объекту),ⵙⵙ,ⵙⵙ,Асимптотическое приближение вектора к точке притяжения.
КК (Под ориентиром),Эссив (Под базой),ⴷⵓ,ⴷⵓ,"Проекция «под» гиперплоскость, нижнее полупространство."
,Аблатив (Из-под),ⵏⴵ,ⵏⴵ,Восстановление ортогональной составляющей снизу вверх.
,Латив (Под объект),ⴽⵙ,ⴽⵙ,Смещение инварианта под нижнюю границу многообразия.
"ГЪ (Позади, за)","Эссив (Сзади, в покое)",ⴹⴼ,ⴹⴼ,"Фазовый сдвиг назад, запаздывающий потенциал."
,Аблатив (Из-за),ⴼⴽ,ⴼⴽ,Выход волны из зоны геометрической тени ориентира.
,Латив (За объект),ⵔⵏ,ⵔⵏ,Уход траектории за горизонт видимости системы координат.
В (Вертикаль),Эссив (На вертикали),ⴱⴷ,ⴱⴷ,"Ортогональный штамб, нормаль к базовой плоскости."
,Аблатив (С вертикали),ⵔⵙ,ⵔⵙ,"Снятие проекции с вертикальной оси, падение потенциала."
,Латив (На вертикаль),ⵍⵢ,ⵍⵢ,"Подъем по координате, набегающий вертикальный поток."
АЛ (Горизонталь),Эссив (На плоскости),ⴼⵍ,ⴼⵍ,"Касательное расслоение, фиксация на опорном холсте."
,Аблатив (С плоскости),ⴽⵙ,ⴽⵙ,Отрыв траектории от горизонтального многообразия.
,Латив (На плоскость),ⵙⵔ,ⵙⵔ,Ортогональная проекция высшей формы на горизонталь.
